,Sensor 01,Sensor 02,Sensor 03,Sensor 04,Sensor 05
Sensor 01,1.0,0.25996693445236085,-0.15812651060838526,-0.04041664368116634,0.014235591382977595
Sensor 02,0.25996693445236085,1.0,-0.02909110551542475,-0.1005982657458452,0.0863107418942838
Sensor 03,-0.15812651060838526,-0.02909110551542475,1.0,-0.04729638441000427,0.11414483781777487
Sensor 04,-0.04041664368116634,-0.1005982657458452,-0.04729638441000427,1.0,0.02330695295608786
Sensor 05,0.014235591382977595,0.0863107418942838,0.11414483781777487,0.02330695295608786,1.0
