date,original,predict
2015-03-29,1480.4285714285713,1469.0013917849276
2015-04-05,1486.0,1492.7258154276608
2015-04-12,1467.7142857142858,1495.890873283369
2015-04-19,1455.7142857142858,1514.0416004575404
2015-04-26,1471.4285714285713,1518.6108970391058
2015-05-03,1453.0,1527.157165459538
2015-05-10,1450.7142857142858,1525.1307676153865
2015-05-17,1428.142857142857,1510.524270925331
2015-05-24,1403.4285714285713,1491.0344177663264
2015-05-31,1424.7142857142858,1484.0152117259138
2015-06-07,1420.0,1478.8487520077017
2015-06-14,1421.2857142857142,1483.3160912202281
2015-06-21,1423.2857142857142,1480.2264691470475
2015-06-28,1429.7142857142858,1480.559709106778
2015-07-05,1409.5714285714287,1488.3256219525624
2015-07-12,1420.142857142857,1489.8820461149194
2015-07-19,1410.142857142857,1495.6983154002487
2015-07-26,1428.142857142857,1494.8629813306522
2015-08-02,1401.7142857142858,1481.743989789836
2015-08-09,1422.5714285714287,1486.088155480189
2015-08-16,1382.5714285714287,1475.2376270670782
2015-08-23,1410.7142857142858,1464.599575402966
2015-08-30,1418.857142857143,1462.0167230260522
2015-09-06,1413.7142857142858,1460.897226492152
2015-09-13,1444.5714285714287,1462.3887496507014
2015-09-20,1443.7142857142858,1472.4860299762533
2015-09-27,1459.0,1467.7185811113397
2015-10-04,1480.142857142857,1487.097557329856
2015-10-11,1489.2857142857142,1503.0968666892095
2015-10-18,1485.142857142857,1522.2831185087687
2015-10-25,1497.857142857143,1525.0300829154978
2015-11-01,1451.2857142857142,1523.558758575325
2015-11-08,1445.5714285714287,1526.6011521359942
2015-11-15,1440.7142857142858,1528.0073458821473
2015-11-22,1431.5714285714287,1507.7761615185568
2015-11-29,1429.4285714285713,1492.857074673154
2015-12-06,1445.5714285714287,1484.5258541211326
2015-12-13,1412.2857142857142,1478.4696861718087
2015-12-20,1445.0,1472.1313803563883
2015-12-27,1444.857142857143,1469.984972053518
2016-01-03,1410.2857142857142,1465.6827412071575
2016-01-10,1413.142857142857,1475.1517903435213
2016-01-17,1403.2857142857142,1477.9069272403558
2016-01-24,1393.7142857142858,1473.8821218187056
2016-01-31,1425.2857142857142,1469.6679769748025
2016-02-07,1407.5714285714287,1465.6528238088467
2016-02-14,1440.4285714285713,1467.244558840947
2016-02-21,1475.4285714285713,1481.3747087510449
2016-02-28,1477.0,1480.9440200186614
2016-03-06,1456.2857142857142,1487.7908614537685
2016-03-13,1472.857142857143,1491.668028981974
2016-03-20,1440.857142857143,1504.0067115797563
2016-03-27,1445.857142857143,1516.2334627035848
2016-04-03,1444.5714285714287,1510.0717041308378
2016-04-10,1441.4285714285713,1504.669499335121
2016-04-17,1437.2857142857142,1498.3969715424848
2016-04-24,1472.857142857143,1496.5413532964278
2016-05-01,1444.857142857143,1501.951005387791
2016-05-08,1459.2857142857142,1492.266675816036
2016-05-15,1476.142857142857,1494.2425776114267
2016-05-22,1446.0,1501.5306747057614
2016-05-29,1419.2857142857142,1496.8285473048613
2016-06-05,1431.0,1501.0875117135759
2016-06-12,1422.142857142857,1499.5256224623197
2016-06-19,1430.857142857143,1492.3738256918007
2016-06-26,1445.142857142857,1502.853802094462
2016-07-03,1413.5714285714287,1494.795620439774
2016-07-10,1415.2857142857142,1483.2745754773755
2016-07-17,1410.4285714285713,1474.4232244854252
2016-07-24,1392.5714285714287,1473.2379130619445
2016-07-31,1382.4285714285713,1467.2326734070296
2016-08-07,1388.4285714285713,1461.4964400010624
2016-08-14,1372.7142857142858,1445.1200308348891
2016-08-21,1414.142857142857,1441.077435655177
2016-08-28,1432.4285714285713,1444.699254379217
2016-09-04,1442.4285714285713,1450.9758025622439
2016-09-11,1432.2857142857142,1459.018244047114
2016-09-18,1414.5714285714287,1461.8563330868735
2016-09-25,1403.142857142857,1458.8104961947913
2016-10-02,1417.857142857143,1464.311575577078
2016-10-09,1396.2857142857142,1458.0065398558677
2016-10-16,1374.4285714285713,1447.6803438920526
2016-10-23,1392.7142857142858,1440.929808636662
2016-10-30,1419.2857142857142,1437.032085798664
2016-11-06,1445.0,1449.2537469906922
2016-11-13,1423.857142857143,1459.2300487222406
2016-11-20,1435.7142857142858,1461.0782700145337
2016-11-27,1409.2857142857142,1462.4756433808727
2016-12-04,1408.5714285714287,1472.3912122005324
2016-12-11,1403.0,1477.2083927295928
2016-12-18,1406.4285714285713,1473.074686551492
2016-12-25,1372.4285714285713,1459.6531341346476
2017-01-01,1400.2857142857142,1459.6248482100311
2017-01-08,1372.857142857143,1457.445991579773
2017-01-15,1411.4285714285713,1457.9289122913383
2017-01-22,1409.2857142857142,1456.4280772638647
2017-01-29,1403.0,1460.9073535907971
2017-02-05,1378.7142857142858,1457.7594533662445
2017-02-12,1395.4285714285713,1462.3396611819794
2017-02-19,1401.857142857143,1453.871351225904
2017-02-26,1419.0,1450.851643330294
2017-03-05,1411.0,1457.0090660106548
2017-03-12,1438.857142857143,1464.619265658766
2017-03-19,1425.5714285714287,1461.1740974530755
2017-03-26,1456.857142857143,1465.1350780394387
2017-04-02,1456.4285714285713,1473.7568895458514
2017-04-09,1462.2857142857142,1489.0135201555313
2017-04-16,1429.4285714285713,1497.6617305152545
2017-04-23,1409.4285714285713,1501.8421552435746
2017-04-30,1405.142857142857,1499.2982274539859
2017-05-07,1424.5714285714287,1496.7931489590108
2017-05-14,1405.4285714285713,1486.3157495716616
2017-05-21,1387.5714285714287,1474.355792899525
2017-05-28,1351.5714285714287,1459.6544495213218
2017-06-04,1375.0,1449.1548519144708
2017-06-11,1396.7142857142858,1443.1509898040106
2017-06-18,1410.857142857143,1439.6910822002335
2017-06-25,1404.0,1439.115953741908
2017-07-02,1406.142857142857,1453.290122744206
2017-07-09,1426.4285714285713,1452.3387587803395
2017-07-16,1452.5714285714287,1466.6799478281116
2017-07-23,1473.142857142857,1480.8077848084686
2017-07-30,1485.4285714285713,1491.1927852424456
2017-08-06,1477.142857142857,1498.9336716172518
2017-08-13,1467.4285714285713,1503.247719194265
2017-08-20,1460.2857142857142,1499.5146950601722
2017-08-27,1487.5714285714287,1513.47023768328
2017-09-03,1482.4285714285713,1505.0768226012465
2017-09-10,1457.5714285714287,1508.1411905113196
2017-09-17,1432.7142857142858,1507.7175415499944
2017-09-24,1426.2857142857142,1507.243072805845
2017-10-01,1452.857142857143,1515.7413589662772
2017-10-08,1447.4285714285713,1523.6122213209414
2017-10-15,1428.7142857142858,1507.9101163405326
2017-10-22,1430.0,1508.3836541922076
2017-10-29,1421.5714285714287,1503.8331571449219
2017-11-05,1446.5714285714287,1501.6219666919328
2017-11-12,1467.5714285714287,1506.136622647371
2017-11-19,1465.7142857142858,1506.337607498173
2017-11-26,1500.857142857143,1508.0368788060125
2017-12-03,1492.4285714285713,1529.0260625525632
2017-12-10,1509.7142857142858,1532.3138539623071
2017-12-17,1537.857142857143,1536.4614247839331
2017-12-24,1492.4285714285713,1540.3587408115127
2017-12-31,1458.7142857142858,1538.9565075727298
2018-01-07,1445.4285714285713,1533.7940618374523
2018-01-14,1426.7142857142858,1526.1579868076526
2018-01-21,1451.142857142857,1518.6055531487705
2018-01-28,1422.142857142857,1515.2792997391348
2018-02-04,1411.142857142857,1509.2390986399785
2018-02-11,1437.2857142857142,1496.6428731554527
2018-02-18,1432.2857142857142,1493.864772087411
2018-02-25,1420.2857142857142,1495.0723069644137
2018-03-04,1423.142857142857,1495.4679457743357
2018-03-11,1389.4285714285713,1482.3621056505658
2018-03-18,1376.2857142857142,1473.5835574776968
2018-03-25,1374.4285714285713,1456.8162415335428
2018-04-01,1388.4285714285713,1458.6163191575547
2018-04-08,1398.142857142857,1447.3610522746262
2018-04-15,1428.0,1438.7730890628256
2018-04-22,1421.857142857143,1435.725320096218
2018-04-29,1441.4285714285713,1444.2557765049194
2018-05-06,1292.0,1436.8703096801785
2018-05-13,1134.5714285714287,1408.1869140895071
2018-05-20,956.8571428571429,1350.356095478193
2018-05-27,788.1428571428571,1263.281185264293
2018-06-03,593.5714285714286,1146.4792913072936
2018-06-10,408.2857142857143,1000.7408121318205
2018-06-17,254.14285714285714,826.8336153069938
2018-06-24,229.71428571428572,669.6188798600845
2018-07-01,191.85714285714286,540.0135126254482
2018-07-08,197.28571428571428,429.2492253467855
