,Sensor 01,Sensor 02,Sensor 03,Sensor 04,Sensor 05
Sensor 01,1.0,-0.12759531974895297,0.060766088216907516,0.03968030171069522,0.12383381541432908
Sensor 02,-0.12759531974895297,1.0,0.022395259818306177,-0.06906837563189745,0.02449137304885747
Sensor 03,0.060766088216907516,0.022395259818306177,1.0,0.005330658199101112,-0.013997056991654985
Sensor 04,0.03968030171069522,-0.06906837563189745,0.005330658199101112,1.0,0.06099510584732983
Sensor 05,0.12383381541432908,0.02449137304885747,-0.013997056991654985,0.06099510584732983,1.0
