,Sensor 01,Sensor 02,Sensor 03,Sensor 04,Sensor 05
Sensor 01,1.0,0.011545178712729825,0.0948237631859098,0.07192532548963812,-0.03155370808364032
Sensor 02,0.011545178712729825,1.0,0.08855053371604339,0.03769968224782786,0.038262482415107324
Sensor 03,0.0948237631859098,0.08855053371604339,1.0,0.08453681711223779,-0.12041148226528114
Sensor 04,0.07192532548963812,0.03769968224782786,0.08453681711223779,1.0,0.09930461078720673
Sensor 05,-0.03155370808364032,0.038262482415107324,-0.12041148226528114,0.09930461078720673,1.0
