date;original;predict
17-05-2020;643,8571428571429;587,0725308705794
18-05-2020;657,4285714285714;610,9525270774501
19-05-2020;628,0;640,1618133622239
20-05-2020;681,1428571428571;654,9882025423537
21-05-2020;672,4285714285714;678,343328503673
22-05-2020;729,0;705,7260262014066
23-05-2020;698,0;728,7259323180384
24-05-2020;677,4285714285714;739,4178189156861
25-05-2020;681,5714285714286;743,6007735352835
26-05-2020;704,2857142857143;750,5069010212525
27-05-2020;646,5714285714286;752,5337526130064
28-05-2020;626,7142857142857;743,4211679252472
29-05-2020;634,0;720,909629694179
30-05-2020;595,7142857142857;704,1399411896758
31-05-2020;599,4285714285714;683,8806679505876
01-06-2020;526,7142857142857;665,4747649165537
02-06-2020;467,14285714285717;630,2285366142529
03-06-2020;462,42857142857144;601,4916182033859
04-06-2020;458,2857142857143;581,0471655407108
05-06-2020;403,2857142857143;546,8796159371144
06-06-2020;462,42857142857144;516,8111133382614
07-06-2020;472,0;509,1806373316957
08-06-2020;488,57142857142856;502,8948667923673
09-06-2020;531,8571428571429;505,6708954531694
10-06-2020;582,0;530,3368910325543
11-06-2020;614,1428571428571;552,0817215688363
12-06-2020;660,7142857142857;589,4414851799592
13-06-2020;617,1428571428571;620,6451894719355
14-06-2020;614,1428571428571;637,0076260701935
15-06-2020;660,4285714285714;659,9564503246286
16-06-2020;616,8571428571429;680,7624442149389
17-06-2020;637,0;687,869964985164
18-06-2020;601,5714285714286;695,2267214919301
19-06-2020;622,2857142857143;692,4424556176606
20-06-2020;661,2857142857143;691,4048308669637
21-06-2020;613,5714285714286;697,0386000618862
22-06-2020;596,5714285714286;681,977437190252
23-06-2020;657,7142857142857;687,2251840122086
24-06-2020;668,1428571428571;688,0676287679745
25-06-2020;640,7142857142857;685,8544188708247
26-06-2020;577,0;680,9686048051689
27-06-2020;567,8571428571429;672,2971741871605
28-06-2020;577,7142857142857;666,2293201599886
29-06-2020;607,1428571428571;675,3654074414119
30-06-2020;613,8571428571429;664,0154435993375
01-07-2020;576,8571428571429;642,8211754057202
02-07-2020;628,4285714285714;639,4239094308817
03-07-2020;664,1428571428571;651,0940311641143
04-07-2020;622,8571428571429;660,8954478479021
05-07-2020;655,7142857142857;673,3179099170424
06-07-2020;655,2857142857143;678,6138027103461
07-07-2020;573,4285714285714;670,5308105805246
08-07-2020;590,1428571428571;673,9032467856019
09-07-2020;596,7142857142857;670,7027568303422
10-07-2020;609,8571428571429;670,4987954877661
11-07-2020;609,7142857142857;669,2557221321041
12-07-2020;567,1428571428571;646,4449485936568
13-07-2020;491,14285714285717;623,7798897444799
14-07-2020;531,4285714285714;622,4498023744251
15-07-2020;544,8571428571429;616,8814425430941
16-07-2020;555,4285714285714;615,8247631657051
17-07-2020;553,1428571428571;597,7451610523474
18-07-2020;579,8571428571429;593,3831547726425
19-07-2020;581,2857142857143;597,3150857863253
20-07-2020;636,2857142857143;618,0786018663695
21-07-2020;627,7142857142857;637,2406197957722
22-07-2020;626,7142857142857;647,3389673441849
23-07-2020;574,1428571428571;644,0995065508268
24-07-2020;580,0;649,206715414267
25-07-2020;549,5714285714286;636,7235577272169
26-07-2020;593,4285714285714;635,969409800741
27-07-2020;622,2857142857143;630,83975868352
28-07-2020;645,7142857142857;627,7886635221901
29-07-2020;647,4285714285714;642,1180868841273
30-07-2020;645,2857142857143;649,1989629199392
31-07-2020;639,2857142857143;665,3980357197423
01-08-2020;649,1428571428571;679,3785622156034
02-08-2020;638,8571428571429;691,1379408385186
03-08-2020;632,2857142857143;687,0683908378812
04-08-2020;583,4285714285714;673,9127440976068
05-08-2020;585,7142857142857;661,85187907829
06-08-2020;580,4285714285714;657,0829733346264
07-08-2020;566,5714285714286;646,730870301991
08-08-2020;566,7142857142857;634,195631525131
09-08-2020;514,7142857142857;617,1535815677643
10-08-2020;436,57142857142856;592,8057363480831
11-08-2020;503,0;588,619530068799
